Schulnummer;Anzahl;
"116464";"202";
"116476";"286";
"116488";"187";
"116490";"110";
"116506";"208";
"116518";"204";
"116520";"306";
"116531";"232";
"116543";"95";
"116567";"146";
"116579";"160";
"116580";"365";
"116592";"178";
"116609";"103";
"116610";"200";
"116622";"194";
"116658";"200";
"116660";"187";
"116683";"195";
"116695";"177";
"116701";"352";
"116737";"213";
"116749";"130";
"116762";"158";
"116774";"271";
"116804";"191";
"116816";"184";
"116828";"281";
"116830";"173";
"116841";"177";
"116865";"94";
"116877";"295";
"116889";"185";
"116907";"151";
"116919";"273";
"116920";"163";
"116956";"150";
"116968";"187";
"116970";"206";
"116993";"209";
"117020";"164";
"117031";"308";
"117043";"153";
"117055";"153";
"117067";"197";
"117092";"250";
"117109";"264";
"117110";"184";
"117122";"211";
"117146";"218";
"117158";"198";
"117160";"260";
"117171";"167";
"117183";"107";
"117195";"153";
"117213";"278";
"117237";"210";
"117249";"303";
"117250";"313";
"117262";"205";
"117286";"305";
"117298";"113";
"117316";"179";
"117328";"198";
"117330";"301";
"117341";"154";
"117353";"131";
"117365";"282";
"117377";"218";
"117389";"317";
"117390";"239";
"117420";"275";
"117432";"283";
"117444";"246";
"117456";"218";
"117470";"259";
"117511";"231";
"117523";"241";
"117560";"505";
"117572";"218";
"117602";"92";
"117638";"212";
"117640";"270";
"117651";"243";
"117687";"396";
"117717";"282";
"117729";"102";
"117730";"148";
"117742";"142";
"117754";"251";
"117778";"314";
"117810";"209";
"117821";"135";
"117894";"180";
"117900";"346";
"117912";"464";
"117924";"98";
"117936";"171";
"117961";"275";
"117985";"116";
"117997";"213";
"118000";"178";
"118023";"155";
"118035";"128";
"118047";"109";
"118059";"294";
"118060";"225";
"118072";"97";
"118102";"160";
"118114";"182";
"118126";"108";
"118138";"107";
"118140";"373";
"118163";"164";
"118187";"130";
"118199";"151";
"118205";"304";
"118217";"189";
"118229";"196";
"118230";"144";
"118242";"91";
"118254";"160";
"118266";"114";
"118278";"157";
"118280";"169";
"118291";"268";
"118333";"250";
"118345";"89";
"118357";"165";
"118382";"190";
"118400";"104";
"118412";"237";
"118424";"119";
"118436";"209";
"118448";"259";
"118461";"292";
"118473";"135";
"118485";"198";
"118497";"134";
"118527";"229";
"118552";"428";
"118564";"123";
"118576";"92";
"118590";"188";
"118606";"233";
"118620";"225";
"118643";"91";
"118655";"198";
"118680";"407";
"118710";"169";
"118734";"203";
"118758";"201";
"118760";"158";
"118783";"196";
"118795";"199";
"118813";"297";
"118825";"261";
"118837";"211";
"118849";"219";
"118850";"309";
"118862";"213";
"118898";"208";
"118928";"398";
"118930";"188";
"118941";"367";
"118953";"208";
"118965";"209";
"118990";"213";
"119027";"190";
"119039";"321";
"119064";"226";
"119076";"206";
"119088";"204";
"119090";"187";
"119106";"209";
"119118";"229";
"119120";"225";
"119131";"229";
"119143";"178";
"119155";"276";
"119167";"242";
"119180";"362";
"119192";"254";
"119222";"219";
"119234";"233";
"119246";"367";
"119260";"335";
"119271";"206";
"119295";"272";
"119301";"217";
"119313";"273";
"119325";"260";
"119337";"193";
"119374";"283";
"119398";"239";
"119404";"220";
"119430";"192";
"119477";"358";
"119519";"225";
"119532";"368";
"119570";"313";
"119611";"322";
"119635";"189";
"119647";"221";
"119659";"195";
"119660";"139";
"119684";"205";
"119696";"182";
"119702";"298";
"119714";"355";
"119740";"263";
"119763";"286";
"119775";"176";
"119787";"225";
"119799";"223";
"119805";"229";
"119817";"262";
"119829";"169";
"119842";"192";
"119866";"168";
"119878";"276";
